GSP_name,SCORE_minusengagement_summed,SCORE_minusengagement_summed_minusproj,PROJECTS_SCORE,Projects_DW,SCORE_minusengagement_Averagesubscore,SCORE_factor,QualityMT,perc_1975,percfail,MCLs_used,Number_MTsset_ofseven,percwsf,Outreachandinvolvement,Ceplan,Incorporating_comments,Translation,count1975,count_domwells,count_pswells,count_hhsd_all,avgpl_1975,Avg_TCD_dom,AllWells,Avg_TCD_ps,count_pws,WaterSys,Count_DACwithND_2016,Count_DACwithND_2018,Number_GSA_authors_unique,Number_GSPs_inbasin,Number_agencies_ingovagreements_total,IsthereacollabGSAauthor,per_collab,board_perc_DAC,DAC_per_DACseat,board_perc_DW,PWS_per_DWseat,board_per_women,board_perPOC,Committee_perc,Committee_any,Committee_DAC_any,Committee_DW_perc,County_ag_profits_2019,Perc_irrigated_Darcy,GSP_area_acres_me,Summed_EJ_Engagement,CWC,SHE,LCJA,Facilitation_orcoordinationsupport_recieved,Facilitation_received_dierct,Count_letters,Quality_outcomecombined,Prop1Cat1_project,Prop1Cat1_TA,Prop1,Combined_risk_percentil,COB
Madera subbasin joint,52.94117647,46.15384615,100,2,56.07142857,NA,2,0.6255088195386703,61.53846154,1,2,76.47058824,2,2,2,2,4422,4470,213,283,241.1276713,339.1157065,52,382.3783784,21,17,6,6,4,4,4,1,0,25,83.33333333333334,25,23.809523809523807,10,30,25,2,2,25,1998826000,54.37219322,325130.3226,6,0,3,3,1,1,1,2,1,1,1,62.66,2
Northern and Central Delta Mendota,38.23529412,42.30769231,50,2,37.14285714,NA,2,0.5179584120982986,19.04761905,1,1,46.15384615,2,0,1,2,529,599,116,6,122.1020349,224.3881119,42,304.4615385,42,13,5,4,8,6,20,2,37.5,1.8181818181818181,20,10.909090909090908,14.285714285714285,10.909090909090908,23.636363636363637,0,1,1,0,3526856000,45.25275141,315927.2628,0,0,0,0,1,0,1,1,1,1,1,25.9,2
Aliso Water District,15.38461538,20,0,0,16.66666667,NA,1,0.25,0,0,1,0,2,1,0,1,4,3,3,0,185.8371381,260,0,346,0,0,0,0,1,6,1,1,0,NA,NA,0,NA,0,20,0,1,NA,0,1998826000,86.27250404,26632.00055,0,0,0,0,1,0,0,0,0,1,1,53.04,2
Farmers Water District,26.92307692,35,0,0,19.76190476,NA,0,0,NA,0,0,NA,1,1,0,1,2,2,0,0,250.1941626,452.5,NA,NA,0,NA,0,0,1,6,1,1,0,NA,NA,0,NA,0,0,0,1,NA,0,7714540000,57.59143127,2214.334967,0,0,0,0,1,0,0,0,0,1,1,79,2
County of Fresno,21.42857143,27.27272727,0,0,19.64285714,NA,0,0.5714285714285714,100,0,0,100,1,1,2,1,28,27,7,0,113.6631933,224.1111111,1,NA,1,1,0,0,1,6,1,1,0,NA,NA,0,0,0,40,0,1,NA,0,7714540000,19.3343396,22180.65141,0,0,0,0,1,0,1,0,0,1,1,14.27,2
Grasslands,17.85714286,22.72727273,0,0,16.07142857,NA,0,0.09803921568627451,0,0,0,0,1,2,0,1,51,78,5,0,129.592012,245.3116883,2,258.3333333,1,1,0,0,2,6,3,2,50,NA,NA,0,0,0,30,0,1,NA,0,3270959000,2.533195054,104339.726,0,0,0,0,1,0,1,0,0,1,1,30.62,2
San Joaquin River Exchange Contractors,17.64705882,23.07692308,0,0,17.38095238,NA,0,0.403030303030303,5.555555556,0,0,22.22222222,1,1,0,1,660,840,124,5,85.01565778,173.4913366,36,300.1666667,20,9,9,9,11,6,14,2,9.090909090909092,37.03703703703704,222.22222222222223,55.55555555555556,150,12.962962962962962,33.33333333333333,9.090909090909092,2,2,9.090909090909092,3270959000,58.96775254,292929.8557,0,0,0,0,1,0,0,0,0,1,1,28.12,2
North Kings,58.82352941,61.53846154,100,2,66.07142857,NA,2,0.7590649733112461,24,1,6,62.5,2,2,2,2,5433,5946,863,44,90.22159034,179.3560014,125,310.8571429,102,16,7,9,1,7,10,2,100,14.285714285714285,14.285714285714285,42.857142857142854,2.941176470588235,0,57.14285714285714,0,1,1,0,7714540000,38.59972742,310763.4144,6,0,3,3,1,1,6,6,1,1,1,82.03,2
North Fork Kings,41.17647059,53.84615385,0,0,42.85714286,NA,2,0.7729323308270677,63.15789474,1,4,100,2,2,2,2,665,697,65,12,135.8566262,237.4616519,19,306.5625,16,6,3,3,1,7,12,2,100,14.285714285714285,33.33333333333333,14.285714285714285,6.25,0,14.285714285714285,100,2,2,100,7714540000,66.27247029,168318.5521,6,0,3,3,1,0,4,4,0,1,1,64.92,2
McMullin Area,38.23529412,50,0,0,37.61904762,NA,2,0.8645533141210374,50,1,5,60,2,2,2,2,347,331,33,3,155.1187642,274.8803681,8,206.8888889,9,5,1,1,1,7,3,2,100,0,0,0,0,0,60,100,2,2,100,7714540000,75.26559408,120584.4018,0,0,0,0,1,0,0,5,0,0,0,71.67,2
Kings River East,50,50,100,2,47.38095238,NA,2,0.6787365177195686,31.48148148,1,2,50,1,0,2,1,1298,1649,231,180,89.63117305,183.4819764,54,245.1388889,43,18,14,13,1,7,15,2,100,28.57142857142857,14.285714285714285,28.57142857142857,4.651162790697675,14.285714285714285,28.57142857142857,0,1,1,0,7508852000,61.08679545,191350.1245,2,2,0,0,1,0,2,2,0,1,1,80.1,2
South Kings,38.23529412,38.46153846,50,2,42.73809524,NA,2,0.7272727272727273,5.263157895,1,4,25,1,2,2,1,55,52,67,0,121.8578097,203.38,19,455,9,4,4,3,1,7,5,2,100,80,100,100,55.55555555555556,20,60,0,1,1,0,7714540000,4.489227245,9390.328363,1,0,1,0,1,0,1,4,0,1,1,92.05,2
James,29.41176471,38.46153846,0,0,22.5,NA,2,0.75,62.5,1,4,66.66666667,1,0,0,0,52,50,10,0,181.2486208,325,8,356,1,3,1,1,1,7,2,2,100,0,0,0,0,0,20,100,2,2,100,7714540000,68.75575579,29044.77131,0,0,0,0,1,0,0,4,0,0,0,38.66,2
Central Kings,26.47058824,34.61538462,0,0,19.28571429,NA,0,0.8406285072951739,20,0,0,50,0,0,1,0,1782,1745,200,36,98.28015016,181.5171412,50,246.7368421,51,14,6,5,1,7,1,1,0,0,0,0,0,0,0,0,1,1,0,7714540000,73.97216139,151400.0606,2,0,0,2,1,0,7,0,0,1,1,88.61,2
Westside,32.35294118,38.46153846,0,0,28.45238095,NA,0,0.5384615384615384,66.66666667,0,0,100,1,2,2,2,39,44,35,1,290.9467372,505.225,6,1008.555556,34,2,6,6,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,7714540000,59.93078853,622208.3929,3,0,0,3,0,0,3,0,1,1,1,10.27,2
